# f, Suu, Svv, Sww
3.313812312526781545e-02 1.265534608855962029e+00 7.205824417959679762e-01 3.037791574182826526e-01
3.342379660048564599e-02 8.462838502974096011e-01 8.468579312904960243e-01 2.428867894634536007e-01
3.370947007570346959e-02 1.017031630673969955e+00 7.621822745205089067e-01 1.985718434972633117e-01
3.399514355092130014e-02 8.350054621309910274e-01 6.742983900244008399e-01 1.745282293757759728e-01
3.428081702613912374e-02 1.028435370450895059e+00 5.608358937809304612e-01 3.792087960070325559e-01
3.456649050135694734e-02 1.648809279230452951e+00 6.074183247441307110e-01 3.004075232637943293e-01
3.485216397657477788e-02 1.294017197257030238e+00 5.505765606465600204e-01 4.737611414526856635e-01
3.513783745179260148e-02 7.862605422731013816e-01 1.003618702456020362e+00 3.843950854456058552e-01
3.542351092701042509e-02 1.224634004998822467e+00 1.332191310631094971e+00 3.638112710709173747e-01
3.570918440222825563e-02 7.274899462888525514e-01 7.444802928086956539e-01 2.589094394322832837e-01
3.599485787744607923e-02 1.187298027559497093e+00 4.696198709984756858e-01 3.400612641838131056e-01
3.628053135266390283e-02 1.006582109949374138e+00 8.020644581604428058e-01 2.890009899675701210e-01
3.656620482788173337e-02 8.958879089807343377e-01 7.700166436231009603e-01 3.016570892594366282e-01
3.685187830309955698e-02 7.486894414728271219e-01 7.353600965355534536e-01 2.090512393482895914e-01
3.713755177831738058e-02 1.126487020266481176e+00 7.251348038763383297e-01 2.944637255250153740e-01
3.742322525353521112e-02 1.004618981903132369e+00 8.266801218570323240e-01 3.663414681880876600e-01
3.770889872875303472e-02 8.674221794705417876e-01 1.406336774143594370e+00 3.900297514642248053e-01
3.799457220397085833e-02 9.420920565981703021e-01 9.815133553659537435e-01 2.308058788611712930e-01
3.828024567918868887e-02 1.541634738761578527e+00 6.986847635469854989e-01 3.078504710607099515e-01
3.856591915440651247e-02 9.716323431434754632e-01 6.055834264358188612e-01 2.250847657948254199e-01
3.885159262962433607e-02 6.179385673568116299e-01 5.986817929160281881e-01 2.814480773497181065e-01
3.913726610484216661e-02 1.014771288443376607e+00 7.777052523709711007e-01 4.242884821443626553e-01
3.942293958005999022e-02 9.865610785543132977e-01 7.046537145850947370e-01 2.701716125014323455e-01
3.970861305527782076e-02 5.945912872762119106e-01 1.009697275381530979e+00 3.449158594932120736e-01
3.999428653049564436e-02 8.004400593546023845e-01 4.757992531501040734e-01 3.276395313073369731e-01
4.027996000571346796e-02 9.079198593992315880e-01 8.933399456680357620e-01 2.985855838896144809e-01
4.056563348093129850e-02 7.452407527297392198e-01 5.082108077953073622e-01 2.900066764960435028e-01
4.085130695614912211e-02 1.110213488625424016e+00 5.989431555596194112e-01 4.741710008688345135e-01
4.113698043136694571e-02 9.394472469452941343e-01 9.191860685021361332e-01 3.203311612301343314e-01
4.142265390658477625e-02 1.061786883766566936e+00 7.148874766751719401e-01 2.692192840966896039e-01
4.170832738180259985e-02 1.142772690479492148e+00 7.280512761574177150e-01 2.790667461051270504e-01
4.199400085702042346e-02 1.098541641706593186e+00 7.493351136063030049e-01 3.134556658797140738e-01
4.227967433223825400e-02 1.134049671870750453e+00 4.850690081988058844e-01 3.853421644147646541e-01
4.256534780745607760e-02 6.636368291009127063e-01 4.985985144904940825e-01 3.680361919407778570e-01
4.285102128267390120e-02 1.039412571401419072e+00 7.430038629597391919e-01 3.152268728250841590e-01
4.313669475789173174e-02 8.484071608200886017e-01 5.532389994882930262e-01 3.243045779012977414e-01
4.342236823310955535e-02 5.545693738675995244e-01 6.601555764883791921e-01 3.783257564729489153e-01
4.370804170832737895e-02 7.289146449092572810e-01 4.408359041293726244e-01 4.204359196183967140e-01
4.399371518354520949e-02 7.603969941528918586e-01 5.563051286258944295e-01 4.193421908099365658e-01
4.427938865876303309e-02 9.140715653246016537e-01 5.450596115945256503e-01 3.504252429144352754e-01
4.456506213398085670e-02 1.037048884208397803e+00 2.954741413320039478e-01 3.407023115538659885e-01
4.485073560919868724e-02 8.783060576643747508e-01 5.820811801384278006e-01 2.848896826395573290e-01
4.513640908441651084e-02 6.912251724306366363e-01 6.397230625773517865e-01 1.548168519193606485e-01
4.542208255963434138e-02 4.707166424876959021e-01 4.544138428560577925e-01 2.444275623809644693e-01
4.570775603485216498e-02 6.681017485376098408e-01 5.143258512341648547e-01 4.020538828304804913e-01
4.599342951006998859e-02 6.835279180310552816e-01 4.811859362709242638e-01 2.920275921658281315e-01
4.627910298528781913e-02 1.128126408485720322e+00 5.644699162208356435e-01 3.456112552523229464e-01
4.656477646050564273e-02 6.871276186342735182e-01 5.146855889685153507e-01 2.991787167353845422e-01
4.685044993572346633e-02 6.516067157528531162e-01 5.263380164854908339e-01 3.111493981513783202e-01
4.713612341094129687e-02 7.390483099079708795e-01 4.960674189926485012e-01 2.943162089163435247e-01
4.742179688615912048e-02 7.445677626608540045e-01 5.289969413237862739e-01 1.921409996215479588e-01
4.770747036137694408e-02 8.060137664258427703e-01 5.887290259122633929e-01 3.074725348656004442e-01
4.799314383659477462e-02 6.388812484588616281e-01 7.275374589448811991e-01 3.083771929181047811e-01
4.827881731181259822e-02 7.782090993319380479e-01 4.109253495300814740e-01 2.683113396834243547e-01
4.856449078703042183e-02 7.502690215636430571e-01 4.481847225943245694e-01 2.665069175297927195e-01
4.885016426224825237e-02 1.017797233638737531e+00 6.569971838500480166e-01 3.233824588525077148e-01
4.913583773746607597e-02 9.354911347885581652e-01 3.848865382186479334e-01 3.466855434474083175e-01
4.942151121268389957e-02 8.124328379231132713e-01 3.721626951126574823e-01 2.844407892854186048e-01
4.970718468790173011e-02 8.512855583553610161e-01 6.104652723860976016e-01 2.897018329854784691e-01
4.999285816311955372e-02 6.966932737126375619e-01 6.295082294753754359e-01 2.038273607212038596e-01
5.027853163833737732e-02 1.350641471597575416e+00 4.803113321435232286e-01 4.080406907936089400e-01
5.056420511355520786e-02 4.128464551967946372e-01 8.069918719928482753e-01 2.843041113841868195e-01
5.084987858877303146e-02 7.338574893327478588e-01 4.608245146964314309e-01 2.758189573192408317e-01
