# f, Suu, Svv, Sww
4.542208255963434138e-02 7.807246809609592886e-02 2.492068122093197280e-01 2.357770355522322697e-02
4.570775603485216498e-02 4.865409112367650307e-02 3.519095399816434822e-01 2.576059857246772514e-02
4.599342951006998859e-02 5.547882581244852063e-02 7.535249109788684230e-01 2.798377015732717021e-02
4.627910298528781913e-02 5.624832826278342718e-02 3.940497516184013338e-01 2.411646872552848306e-02
4.656477646050564273e-02 9.693996673278243437e-02 2.403553284428751047e-01 3.001070427626714374e-02
4.685044993572346633e-02 4.464804163199950077e-02 2.022324788772331683e-01 1.957896918758765883e-02
4.713612341094129687e-02 5.298672523631155207e-02 1.846877676562284354e-01 2.109212434977401560e-02
4.742179688615912048e-02 3.413262683974335049e-02 8.635016408976728397e-02 5.358088303368885134e-03
4.770747036137694408e-02 4.848149711192751427e-02 1.849284819514122047e-01 9.846135234081610649e-03
4.799314383659477462e-02 4.474972015767655908e-02 9.475794475080512314e-02 1.443240557175079833e-02
4.827881731181259822e-02 3.963161191822107271e-02 2.078928686694829220e-01 1.401464545329450875e-02
4.856449078703042183e-02 5.278579167337400097e-02 2.473589163355842391e-01 1.257219480849068767e-02
4.885016426224825237e-02 5.461578331115191781e-02 1.694893915163036835e-01 1.939096206541190623e-02
4.913583773746607597e-02 2.879314132798816567e-02 8.847628292703187125e-02 1.100935120798588948e-02
4.942151121268389957e-02 4.421890455542488996e-02 6.504076498903857417e-02 9.757467186309813634e-03
4.970718468790173011e-02 1.364890521064954232e-02 2.633605597148106631e-02 8.881773230770590929e-03
4.999285816311955372e-02 1.206234749944419954e-01 1.543717128410843908e-01 7.371505419043088841e-03
5.027853163833737732e-02 5.434548623658394528e-02 6.369993216826516647e-02 1.154463985967461338e-02
5.056420511355520786e-02 2.952568063576634094e-02 2.864919983632614048e-02 9.025113200326976767e-03
5.084987858877303146e-02 3.771994869360779240e-02 2.843082097426472346e-02 9.231750254399269384e-03
5.113555206399085507e-02 5.014713527659185599e-02 4.446298173201118642e-02 1.615545436286331196e-02
5.142122553920868561e-02 3.308721415772610669e-02 3.243169945783372365e-02 9.805207282668322588e-03
5.170689901442650921e-02 2.682668922838273712e-02 2.688723486561236248e-02 1.469149559119407693e-02
5.199257248964433975e-02 2.938490850026834536e-02 3.429522013055150143e-02 1.290684280865285471e-02
5.227824596486216335e-02 2.063595648083950060e-02 1.580461730400957443e-02 1.044082559501028490e-02
5.256391944007998696e-02 2.438935260980232625e-02 3.849835181248092292e-02 8.988588053660364827e-03
5.284959291529781750e-02 2.186766779927801913e-02 3.061173784015199309e-02 2.363004601559935691e-02
5.313526639051564110e-02 2.944679477239172879e-02 3.081054029473771425e-02 1.435977361934923785e-02
5.342093986573346470e-02 4.781554224493487354e-02 3.418177696912708119e-02 5.750961203583731217e-03
5.370661334095129524e-02 2.726249860265699682e-02 1.790930701356330951e-02 8.618849235477231072e-03
5.399228681616911885e-02 5.431844288508345248e-02 2.455109083429862435e-02 1.009785934102845097e-02
