# z, uT, vT, wT

# time = 0.0-1.0 hrs
7.500000000000000000e+02 7.499004213306897393e-08 -4.249602119383549833e-08 -1.785162096626343038e-08
7.700000000000000000e+02 3.007311955611035167e-08 -2.231159773039105644e-08 -1.048181651577914374e-08
7.900000000000000000e+02 1.126197283100861537e-08 -2.219393373165791641e-08 -5.365747078152483649e-09
8.200000000000000000e+02 1.783721323222928400e-08 1.299685936962298309e-09 -3.784781556745477396e-08
8.600000000000000000e+02 4.486498945450172287e-09 -2.469787391383441960e-09 2.299824997826802522e-09
9.000000000000000000e+02 2.917409509017547504e-09 1.689068540354341117e-10 -5.561737515558299620e-10
9.400000000000000000e+02 1.914062472180614303e-09 3.592084559413502903e-10 -2.143630622780228682e-10
9.800000000000000000e+02 1.464283072879414120e-09 5.965794240436877508e-10 -1.091707383932423181e-10
1.020000000000000000e+03 1.264911651783948206e-09 6.316115092788558347e-10 -1.385415706635206364e-10
1.060000000000000000e+03 1.027448925051433751e-09 7.170709613908579008e-10 -2.715440937150215172e-11
1.100000000000000000e+03 1.583739384000470933e-09 1.562110287887064262e-09 1.641522079663903380e-10
1.160000000000000000e+03 1.302633508940734635e-09 1.656855348951892444e-09 2.686236075236957685e-10
1.240000000000000000e+03 8.761600633111498741e-10 1.046304723811048278e-09 3.021442656591709014e-10
1.320000000000000000e+03 7.295614854947534844e-10 1.402392196846295158e-09 4.048713350481088455e-10
1.400000000000000000e+03 3.245429107848321036e-10 4.680466525910833179e-10 1.946330058975342111e-10
1.480000000000000000e+03 2.868758668386367284e-10 1.162428658645557574e-10 4.540931841366567208e-11
1.560000000000000000e+03 1.184131963796946336e-10 3.109878328163865833e-11 -3.121355374940658370e-12
1.640000000000000000e+03 4.567040533102512825e-11 -2.481332536809697726e-12 -5.977775005025745779e-12
1.720000000000000000e+03 1.304298252128557259e-11 -7.638274944412968451e-12 -4.084525202553312903e-12
1.800000000000000000e+03 9.855185095107095949e-13 -5.733145664448634345e-12 -2.363205908238560210e-12
1.880000000000000000e+03 3.538787205018706633e-13 -2.798179114438446865e-12 -1.956501012314184228e-12
1.960000000000000000e+03 5.031834948786372366e-13 -1.787653425281339676e-12 -1.106742178403713149e-12
2.040000000000000000e+03 5.336741105839668101e-13 -9.604298204909387972e-13 -4.656275302041568327e-13
2.120000000000000000e+03 -8.075257782367255038e-13 -4.704787538821663348e-13 -2.972641594458519933e-13
2.200000000000000000e+03 -2.060331412854172217e-12 -2.670318203139588901e-13 -7.334123263215937765e-14
2.280000000000000000e+03 -1.422564278368364669e-12 -1.739491525988987636e-13 2.371703634542052375e-13
2.360000000000000000e+03 -1.022937737961467613e-12 -1.894153752927954519e-13 -5.439552631174880964e-14
2.440000000000000000e+03 -7.408652868843150494e-13 -2.896576894962737137e-13 9.441009800617634531e-14
2.520000000000000000e+03 -5.292200953045382303e-13 -2.853085596697974964e-13 -8.620470154450031622e-14
2.600000000000000000e+03 -3.354622013174445881e-13 -4.309235306768256462e-13 2.632596483616112579e-13
2.680000000000000000e+03 -3.019905708487530876e-13 -4.526170099106681942e-13 9.363707149072083050e-14
2.760000000000000000e+03 -6.610102633252189643e-13 -4.354561713446295585e-13 1.278825864078379909e-13
2.840000000000000000e+03 -1.118548404153840119e-12 3.690608378408005691e-14 5.354506088434732000e-13
2.920000000000000000e+03 -2.156691780944808512e-12 2.072309348698039537e-13 7.109778635736280231e-14

# time = 1.0-2.0 hrs
5.000000000000000000e+00 4.346326254726211877e-04 -2.039493437658404171e-03 -1.006409014632160168e-04
1.500000000000000000e+01 1.498280249765206239e-04 -1.917398130545730972e-03 -1.114815994581505165e-04
2.500000000000000000e+01 2.766507454020682784e-04 -1.696530242364316463e-03 -1.292129651268649512e-04
3.500000000000000000e+01 4.272834466338702232e-04 -2.269939248699690080e-03 -7.212827883000967047e-05
4.500000000000000000e+01 1.956550631925072330e-05 -5.234387385468373434e-03 6.760313869696693947e-05
5.500000000000000000e+01 -3.103437965883859995e-03 -1.045789175871076129e-02 3.454730637139661275e-04
6.500000000000000000e+01 -8.676845052276165038e-03 -1.551380118031949959e-02 1.783740413001011938e-04
7.500000000000000000e+01 -1.108682487627449080e-02 -1.572225807367824343e-02 -6.115502719945923064e-05
8.500000000000000000e+01 -9.617206945244843874e-03 -9.352867887235400551e-03 5.815019565048497324e-05
9.500000000000000000e+01 -7.131488110592437181e-03 -4.368742782370371724e-03 2.394739528204508782e-04
1.050000000000000000e+02 -5.002749532810780650e-03 -1.701478944562276243e-03 2.246245433869039504e-04
1.150000000000000000e+02 -4.473872395909141673e-03 -5.067109241899454575e-05 1.990283889581251949e-04
1.250000000000000000e+02 -4.930837780757204095e-03 1.102602424387848700e-03 1.585023239580877130e-04
1.350000000000000000e+02 -4.743444001085633625e-03 1.401024384337345649e-03 9.709571379087398690e-05
1.450000000000000000e+02 -3.494935534882419835e-03 8.939743445625688689e-04 8.850614056688199628e-05
1.550000000000000000e+02 -1.928642345953640027e-03 4.254054576981185112e-04 6.581269435703668400e-05
1.650000000000000000e+02 -9.657151267374406572e-04 1.291294395958992225e-04 2.839208761613039352e-05
1.750000000000000000e+02 -1.071973958983728301e-03 -3.909423891533361545e-04 2.658302586002782975e-05
1.850000000000000000e+02 -6.593671048367343501e-04 -2.892711783902128281e-04 5.434347564669437879e-05
1.950000000000000000e+02 -3.342643974258765202e-04 -8.368832869296394890e-05 3.914992544562178830e-05
2.050000000000000000e+02 -1.761364538874061710e-04 -5.957208449435351169e-06 9.630468287609579334e-06
2.150000000000000000e+02 -1.095004601805299991e-04 1.855802747673666303e-05 1.664870241402054861e-06
2.250000000000000000e+02 -7.135400695141838536e-05 2.028065435634991321e-05 -1.590444337755832330e-06
2.350000000000000000e+02 -6.210457863586186838e-05 2.128651259902721929e-05 -1.158868315182494495e-06
2.450000000000000000e+02 -6.288782086458085351e-05 1.976471631622572173e-05 6.649145829635965270e-08
2.550000000000000000e+02 -5.532178144402319971e-05 1.359635776213176344e-05 -1.528205346292785994e-06
2.650000000000000000e+02 -4.356700789103640096e-05 9.035676266019202908e-06 -4.278311029716669243e-07
2.750000000000000000e+02 -3.601026962844119928e-05 7.353432422867332788e-06 6.199329834542502868e-10
2.850000000000000000e+02 -3.626160778526851537e-05 2.980039785422972317e-06 -1.706104869758568235e-06
2.950000000000000000e+02 -3.013970500261382759e-05 3.241708740145042710e-06 1.132361589000545969e-06
3.050000000000000000e+02 -1.329354147085134916e-05 7.213845714150202543e-06 -1.844048771036008470e-06
3.150000000000000000e+02 -6.439332370901939123e-06 7.475482479027566171e-06 1.109744065882714857e-06
3.250000000000000000e+02 -8.682049514111234791e-06 4.851325142767625698e-06 -2.227503380430059631e-06
3.350000000000000000e+02 -1.192318093074799839e-05 5.106814325299432227e-06 -1.578073123452478854e-06
3.450000000000000000e+02 -1.085609448426469528e-05 1.478436914573478377e-05 1.164262272707769250e-06
3.550000000000000000e+02 2.951203250725602033e-08 1.702635952984958949e-05 -3.000638091998069210e-07
3.650000000000000000e+02 4.796455109189113919e-06 7.780667025204667748e-06 7.403510660472411296e-07
3.750000000000000000e+02 7.688433916570778812e-06 3.268264627508642839e-05 4.971080389133921464e-06
3.850000000000000000e+02 4.199431705157658350e-06 4.020720769701566975e-05 1.640771988729697132e-06
3.950000000000000000e+02 2.031197950124493626e-06 8.176911938649412867e-06 -2.356683316170642690e-06
4.050000000000000000e+02 1.042871981857777927e-05 2.505298181038698857e-05 -7.237648741189809337e-07
4.150000000000000000e+02 5.703776038354590047e-06 1.660332738909931383e-05 -1.633347703920264812e-08
4.250000000000000000e+02 5.906876144282646430e-06 1.195180300526211208e-05 7.216597730913910320e-07
4.350000000000000000e+02 -2.642693741209049187e-06 2.834439384218015326e-05 2.392702619599166810e-06
4.450000000000000000e+02 4.936352226832648630e-06 1.595456612460430807e-05 -2.959521258250562263e-08
4.550000000000000000e+02 8.517389945981744455e-06 4.870083864819144478e-05 8.515580637883083627e-08
