# z, uT, vT, wT

# time = 0.0-1.0 hrs
1.490000000000000000e+03 -5.189294594214068470e-04 1.076908072319942037e-03 1.770150894795851032e-05
1.510000000000000000e+03 -7.348253590632020625e-04 1.213535738231785776e-03 1.334459064434011469e-05
1.540000000000000000e+03 -4.143712192091947083e-04 1.243503346562161100e-03 2.224314122255103510e-05
1.580000000000000000e+03 -4.345696093701571913e-04 1.090488569340034236e-03 4.123995579986984285e-05
1.620000000000000000e+03 -2.893599838104859772e-04 8.273377412192860735e-04 3.821913074413396531e-05
1.660000000000000000e+03 -1.361346940006355726e-05 3.283754629796605223e-04 2.149265496380881849e-05
1.700000000000000000e+03 1.969914890577931758e-05 1.281174470180615032e-04 7.650739145451673846e-06
1.740000000000000000e+03 -3.361683524929337243e-05 9.202726068278214186e-05 1.134883707631264654e-06
1.780000000000000000e+03 -4.215881685618523046e-05 8.439390858883023415e-05 1.666773521098269854e-06
1.820000000000000000e+03 -8.281118354355622216e-06 9.061100444253499377e-05 -1.485575626388340367e-06
1.880000000000000000e+03 8.146683188623046973e-05 1.100049920555407290e-04 3.437712254241880754e-06
1.960000000000000000e+03 9.603981684833775613e-05 8.449588857252034234e-05 3.247547441198984419e-06
2.040000000000000000e+03 5.235798935156921630e-05 4.940679814485695616e-05 2.845856374170074551e-06
2.120000000000000000e+03 2.257474244535845901e-05 2.633776590489709306e-05 1.273928601289164853e-06
2.200000000000000000e+03 9.896302623591435145e-06 1.607951425626984776e-05 6.047048201697085795e-07
2.280000000000000000e+03 2.662121553320537212e-06 9.032998119017647309e-06 -4.189173510049655927e-07
2.360000000000000000e+03 -7.373790631250344427e-07 -2.207379566779724769e-06 -8.016209305409035267e-08
2.440000000000000000e+03 -2.583395635514667104e-05 -3.813674968003375859e-05 -2.939791349484539333e-06
2.520000000000000000e+03 -1.665749805598974471e-04 -7.832719092628634774e-05 -1.563247363005904338e-05
2.600000000000000000e+03 -2.970333479781571266e-04 -8.389297262089539240e-05 -1.543014186294009254e-05
2.680000000000000000e+03 -4.121958041341615680e-04 -1.129121183524898423e-04 -1.204949472530551782e-05
2.760000000000000000e+03 -4.707961264339048462e-04 5.352382189057449313e-04 -6.457877376771197625e-05
2.840000000000000000e+03 -2.233407393407396690e-03 1.360906100139732712e-03 5.710548355182561283e-04
2.920000000000000000e+03 1.524308133732387620e-03 -1.335940678230384268e-03 8.556159475958405531e-04

# time = 5.0-6.0 hrs
5.000000000000000000e+00 4.628983426302298509e-04 1.911996791094182357e-02 4.948545962357987944e-03
1.500000000000000000e+01 1.222806393220893240e-03 2.552939424471133839e-02 1.102489396994136943e-02
2.500000000000000000e+01 1.323615460332742185e-03 2.366862753419532797e-02 1.269366077396073302e-02
3.500000000000000000e+01 1.337334186727623733e-03 2.195671016471493694e-02 1.257716585208173456e-02
4.500000000000000000e+01 1.322168840444457169e-03 2.000724977770678564e-02 1.273155885625392933e-02
