# z uT vT wT
1.235000000000000000e+03 9.938704878999873350e-04 1.905370400820332417e-03 3.274580447480714401e-04
1.245000000000000000e+03 7.722912951371627924e-04 2.887496148874575241e-03 2.920437008235172429e-04
1.255000000000000000e+03 7.713204979287501331e-04 3.729069843532089451e-03 2.402446683640783282e-04
1.265000000000000000e+03 5.406408600058633992e-04 3.569572772205190873e-03 2.125919135658714283e-04
1.275000000000000000e+03 -6.735562338056748568e-06 2.804176300879515117e-03 7.782580403870552332e-05
1.285000000000000000e+03 -4.341781177276306659e-04 2.633313290102751690e-03 -4.990686599773853233e-05
1.295000000000000000e+03 -5.653817086367077987e-04 3.181364590358062676e-03 1.436315350350749341e-05
1.305000000000000000e+03 -3.693123406136885169e-04 2.588846730845513998e-03 1.266214803355471545e-04
1.315000000000000000e+03 -3.222072923141641124e-04 2.015455597592016434e-03 3.143766273375485538e-05
1.325000000000000000e+03 -2.312949283582209706e-04 1.791071253065662809e-03 -1.108431361257323589e-04
1.335000000000000000e+03 -2.509561595217037764e-04 1.344865507790695336e-03 -2.299601152153091905e-04
1.345000000000000000e+03 -2.787876815460099082e-04 1.121685978263938259e-03 -3.119282529990317172e-04
1.355000000000000000e+03 -9.237946493230502149e-05 1.151520430093596215e-03 -2.943668598495017196e-04
1.365000000000000000e+03 6.858710115100312703e-05 1.179226023355491385e-03 -2.404332201049748754e-04
1.375000000000000000e+03 -7.651598755010578649e-05 1.093996914196822268e-03 -2.118692820277376441e-04
1.385000000000000000e+03 -3.998633277479681186e-04 9.905794087412581831e-04 -1.901930936087018582e-04
1.395000000000000000e+03 -7.429833383065291780e-04 9.963072286736005499e-04 -1.177956474464062002e-04
1.405000000000000000e+03 -1.130010065171201204e-03 1.269095516029395895e-03 -5.942193492835204794e-05
1.415000000000000000e+03 -1.256156288810021063e-03 1.880634587926726135e-03 -1.432703145844516437e-04
1.425000000000000000e+03 -1.044556450817708771e-03 2.339058793685180274e-03 -3.182927001948479789e-04
1.435000000000000000e+03 -9.868497601001945205e-04 2.418644880908474380e-03 -3.837223185635341366e-04
1.445000000000000000e+03 -1.146187903223683680e-03 2.644848326270984179e-03 -3.176225986030043933e-04
1.455000000000000000e+03 -1.087331057968030524e-03 3.125212667915391006e-03 -3.046061394104488599e-04
