# z uT vT wT
5.450000000000000000e+02 8.186171226461058762e-06 3.922968672019590425e-06 -1.025769212683940465e-06
5.550000000000000000e+02 4.945715177876164428e-08 2.274259323103605169e-05 -8.925875625240671439e-07
5.650000000000000000e+02 -1.937191928912764190e-06 2.524087312704600454e-05 -9.298724944012124504e-07
5.750000000000000000e+02 9.618828487506792330e-08 2.201871579183179735e-05 -9.103735016863965497e-07
5.850000000000000000e+02 1.244868782674999687e-06 2.006433091778566597e-05 -9.521342559741986585e-07
5.950000000000000000e+02 6.818017111454445998e-07 1.975853882363973828e-05 -1.036572673454539934e-06
6.050000000000000000e+02 -4.582182067703314538e-07 2.104404805184243308e-05 -8.296435774680753449e-07
6.150000000000000000e+02 -1.188663735938971810e-06 2.186172016125814517e-05 -4.944393225894146539e-07
6.250000000000000000e+02 -1.922350477396537457e-06 2.341031832427419485e-05 -1.569464180697232678e-07
6.350000000000000000e+02 -3.716607683157079446e-06 2.366072940627701328e-05 2.419537618464660147e-08
6.450000000000000000e+02 -3.173881011415404072e-06 2.738609001727601070e-05 3.220372027390697095e-07
6.550000000000000000e+02 1.606749343632592961e-06 3.561508143606006792e-05 1.322575675215217688e-07
6.650000000000000000e+02 1.677749601113219169e-06 3.544759889998505992e-05 -2.194377996265281107e-07
6.750000000000000000e+02 -2.383804661583558920e-06 3.404266081396711450e-05 -2.510500127663049951e-07
6.850000000000000000e+02 -4.935518981823599505e-06 4.014607908441937024e-05 -3.986367063969593341e-07
6.950000000000000000e+02 -4.800622872045962759e-06 4.202755725484733101e-05 -7.271701211165674381e-07
7.050000000000000000e+02 -2.022387339931833044e-06 3.602794432683073382e-05 -5.516736018813492190e-07
7.150000000000000000e+02 -8.709792627943867303e-07 3.302243271170666577e-05 3.083208656137094751e-07
7.250000000000000000e+02 -1.363297572539422363e-06 4.276682712203645390e-05 4.142812341678568410e-07
7.350000000000000000e+02 -2.829205248057903948e-06 4.815913020715314211e-05 8.677357244699739412e-08
7.450000000000000000e+02 9.310142925149256505e-07 4.264749544139537489e-05 1.864652621397062460e-07
7.550000000000000000e+02 1.268560993937065557e-05 4.661303304770967899e-05 7.869360810746661156e-07
7.650000000000000000e+02 2.359393910064041738e-05 4.543591463183953928e-05 2.210503796285402253e-07
7.750000000000000000e+02 2.490890773067353132e-05 4.877143148191458768e-05 5.874940268852712220e-09
7.850000000000000000e+02 2.330654092138487998e-05 4.902994611679236758e-05 -4.109716468351963719e-07
7.950000000000000000e+02 1.629673715121929508e-05 4.496298819066188869e-05 -1.254100072724824129e-06
8.050000000000000000e+02 1.221837168087201572e-05 3.314988601247466170e-05 -1.184990750150825644e-06
8.150000000000000000e+02 9.989119281624225756e-06 2.654619640861891145e-05 -8.641961748586355126e-07
8.250000000000000000e+02 9.058305983266417644e-06 2.205577614195498431e-05 -7.116176241918307007e-07
8.350000000000000000e+02 7.191022340173637934e-06 1.848719778539406483e-05 -1.756332648623991042e-07
8.450000000000000000e+02 6.819984230678294349e-06 1.655045410704736084e-05 -9.507183116170381905e-08
8.550000000000000000e+02 1.350540825712712873e-05 1.469947509966993024e-05 -4.011998895817342213e-07
8.650000000000000000e+02 1.635641334082534669e-05 1.309372594215097428e-05 -2.887752603895224807e-07
8.750000000000000000e+02 1.579764851167646641e-05 1.267509738406564487e-05 -1.392988452918258549e-07
